Player,Pos,Age,Tm,STL,BLK,PF,STL%,BLK%,DWS,DWS/48,DBPM,DFGM,DFGA,DFG%,DRTG
Steven Adams,big,25,OKC,1.5,1,2.6,2,2.4,4,0.071937055,2.1,3.7,6.2,60,105.9
Bam Adebayo,big,21,MIA,0.9,0.8,2.5,1.8,3,3.4,0.08531103,3.6,1.6,2.8,58.7,104.5
LaMarcus Aldridge,big,33,SAS,0.5,1.3,2.2,0.8,3.4,2.9,0.051804987,0.5,2.3,4.1,55.7,111
Jarrett Allen,big,20,BRK,0.5,1.5,2.3,1,4.5,3.3,0.075572519,3.2,3.3,6,55.1,111.6
Al-Farouq Aminu,big,28,POR,0.8,0.4,1.8,1.4,1.2,2.8,0.058638743,0.8,2.1,3.2,66,108.2
Kyle Anderson,wing,25,MEM,1.3,0.9,2.6,2.1,2.7,1.8,0.067447307,3.3,1.3,2.2,62.4,104.7
Giannis Antetokounmpo,big,24,MIL,1.3,1.5,3.2,1.8,3.9,5.5,0.111959288,5,1.8,3.3,52.7,101.8
OG Anunoby,wing,21,TOR,0.7,0.3,2.1,1.6,1.3,1.7,0.06035503,0.1,1,1.6,65.4,106.5
Ryan Arcidiacono,guard,24,CHI,0.8,0,2.1,1.6,0.2,0.9,0.022029577,-1,1.3,1.8,70.9,110.2
Trevor Ariza,wing,33,TOT,1.3,0.3,1.9,1.8,0.7,1.2,0.024521073,-0.4,2.1,2.6,78.7,114.4
D.J. Augustin,guard,31,ORL,0.6,0,1.4,1.1,0.1,1.9,0.040193918,-2,0.9,1,88.9,107.2
Deandre Ayton,big,20,PHO,0.9,0.9,2.9,1.3,2.6,1.7,0.037379753,0.2,3.7,5.7,64.9,113.3
Dwayne Bacon,guard,23,CHO,0.3,0.1,1.7,0.8,0.6,0.3,0.018972332,-2.4,1,1.2,81.1,113.2
Marvin Bagley III,big,19,SAC,0.5,1,1.9,1,3.2,1.6,0.049010849,-0.7,2.3,3.6,62.9,111
Lonzo Ball,guard,21,LAL,1.5,0.4,2.4,2.3,1.1,1.7,0.05734364,1.5,1.7,2.5,68.1,106.1
Mo Bamba,big,20,ORL,0.3,1.4,2.2,0.8,7,1.4,0.08772846,3.1,2.3,3.9,59.7,109.2
Harrison Barnes,wing,26,TOT,0.6,0.2,1.6,0.9,0.4,1.6,0.030319779,-1.8,2,2.8,70.5,109.4
Will Barton,guard,28,DEN,0.4,0.5,1.9,0.7,1.6,1.1,0.044407065,-0.5,1.6,2.3,70.7,109.1
Nicolas Batum,wing,30,CHO,0.9,0.6,1.9,1.5,1.6,1.7,0.034664401,0.9,1.4,2.5,55.4,110.3
Aron Baynes,big,32,BOS,0.2,0.7,2.5,0.7,3.7,1.1,0.064311815,1.4,2,3.5,57.8,102.2
Kent Bazemore,guard,29,ATL,1.3,0.6,2.5,2.5,2.2,1.4,0.040900791,0,1.5,2.4,62.1,110.2
Bradley Beal,guard,25,WAS,1.5,0.7,2.8,1.9,1.6,1.7,0.026948481,-1.1,2.1,3.1,67.2,113.5
Malik Beasley,guard,22,DEN,0.7,0.1,1.4,1.4,0.5,1.6,0.040872805,-1.9,1.1,1.5,72.5,107.3
Marco Belinelli,guard,32,SAS,0.4,0.1,1.5,0.9,0.4,1.1,0.029090909,-2.4,0.8,1,78.8,110.1
Jordan Bell,big,24,GSW,0.3,0.8,1.2,1.2,5.4,1.1,0.067005076,2.8,1.4,2.3,62,111.2
DeAndre' Bembry,guard,24,ATL,1.3,0.5,2.3,2.5,1.8,1.7,0.042257897,1.1,1.4,2,70.5,109.4
Dragan Bender,big,21,PHO,0.4,0.5,2,1,2.2,0.4,0.023244552,-0.3,2.4,4,60.3,112.7
Davis Bertans,big,26,SAS,0.5,0.4,1.8,1,1.7,1.5,0.044117647,-0.4,1.6,2.4,65.4,108.1
Patrick Beverley,guard,30,LAC,0.9,0.6,3.4,1.5,1.6,2,0.044922789,1.2,1.5,2.2,67.2,108.7
Khem Birch,big,26,ORL,0.4,0.6,1.4,1.4,3.8,1,0.074650078,2.3,1.3,2.5,52,102.7
Bismack Biyombo,big,26,CHO,0.2,0.8,1.9,0.7,4.6,0.8,0.049042146,1.5,1.4,2.4,58,111.8
Nemanja Bjelica,big,30,SAC,0.7,0.7,2.6,1.4,2.7,1.9,0.051006711,1.2,2.6,4.1,64,108.7
Antonio Blakeney,guard,22,CHI,0.2,0.2,0.7,0.7,0.9,0.3,0.017370326,-3.7,0.6,1,62.5,110.8
Eric Bledsoe,guard,29,MIL,1.5,0.4,2,2.4,1.1,3.7,0.078169014,1,0.7,1.1,66.7,104.2
Bogdan Bogdanovic,guard,26,SAC,1,0.2,2,1.7,0.7,1.4,0.034514638,-1.2,1.8,2.5,73.8,109.3
Bojan Bogdanovic,wing,29,IND,0.9,0,1.7,1.3,0,2.8,0.052234745,-1.4,1.1,1.8,64.1,105.8
Jonah Bolden,big,23,PHI,0.4,0.9,2.3,1.3,4.8,0.9,0.067605634,2,1.3,2.5,52.8,107.9
Devin Booker,guard,22,PHO,0.9,0.2,3.1,1.2,0.5,0.3,0.006422837,-3,1.9,2.7,70.7,115.1
Avery Bradley,guard,28,TOT,0.7,0.3,2.7,1,0.7,1,0.02519685,-1,1.3,2,69.1,110.2
Mikal Bridges,wing,22,PHO,1.6,0.5,2.5,2.5,1.3,1.2,0.023831196,0.3,1.8,2.9,63,112
Miles Bridges,wing,20,CHO,0.7,0.6,1.4,1.6,2.5,1.5,0.04245283,0.5,1.7,2.4,70.3,111.5
Ryan Broekhoff,guard,28,DAL,0.1,0.1,0.8,0.6,0.8,0.3,0.031788079,-1.7,0.6,0.8,75,102.8
Malcolm Brogdon,guard,26,MIL,0.7,0.2,1.6,1.2,0.6,2.3,0.060262009,-0.3,1.1,1.7,64.9,102.7
Bruce Brown,guard,22,DET,0.5,0.5,2.4,1.4,2.1,1.6,0.05300207,1.7,1.3,2.1,63,105.8
Jaylen Brown,guard,22,BOS,0.9,0.4,2.5,1.7,1.5,2.4,0.06021955,-0.6,1.1,1.7,64.5,105.9
Sterling Brown,guard,23,MIL,0.4,0.1,1.5,1.1,0.7,1.4,0.064990329,0,0.5,0.9,56.9,106.1
Troy Brown Jr.,wing,19,WAS,0.4,0.1,1.1,1.4,0.6,0.4,0.02630137,-1.2,0.9,1.3,72.3,110.3
Jalen Brunson,guard,22,DAL,0.5,0.1,1.7,1.1,0.2,1,0.030169705,-1.6,1,1.4,71,110.4
Thomas Bryant,big,21,WAS,0.3,0.9,1.8,0.8,3.8,1.3,0.04171123,0.4,3.2,5.1,62.3,112.6
