rank,player,team,gp,mpg,orpm,drpm,rpm,wins
1,Paul George,OKC,77,36.9,4.55,3.08,7.63,19.86
2,James Harden,HOU,78,36.8,7.4,0.02,7.42,18.54
3,Stephen Curry,GS,69,33.8,5.99,0.85,6.84,15.24
4,Giannis Antetokounmpo,MIL,72,32.8,3.16,3.53,6.69,15.22
5,Nikola Jokic,DEN,80,31.3,3.89,2.59,6.48,14.91
6,Joel Embiid,PHI,64,33.7,2.68,3.72,6.4,12.9
7,Anthony Davis,NO,56,33,2.54,3.2,5.74,10.81
8,Nikola Vucevic,ORL,80,31.4,1.9,3.59,5.49,13.67
9,LeBron James,LAL,55,35.2,3.61,1.83,5.44,11.04
10,Damian Lillard,POR,80,35.5,5.67,-0.59,5.08,14.52
11,Kevin Durant,GS,78,34.6,4.36,0.6,4.96,14.1
12,Chris Paul,HOU,58,32,2.49,2.27,4.76,9.17
13,Danny Green,TOR,80,27.7,2.66,2.07,4.73,11.23
14,Jimmy Butler,MIN/PHI,65,33.6,2.55,2.16,4.71,10.97
15,Kyle Lowry,TOR,65,34,2.83,1.82,4.65,10.97
16,Rudy Gobert,UTAH,81,31.8,0.29,4.35,4.64,13.1
17,Jrue Holiday,NO,67,35.9,3.38,1.23,4.61,12.28
18,Al Horford,BOS,68,29,1.77,2.66,4.43,9.51
19,Paul Millsap,DEN,70,27.1,1.57,2.74,4.31,8.77
20,Kyrie Irving,BOS,67,33,3.77,0.46,4.23,10.34
21,Jusuf Nurkic,POR,72,27.4,0.81,3.35,4.16,9.04
22,Brook Lopez,MIL,81,28.7,0.53,3.54,4.07,11.07
23,Karl-Anthony Towns,MIN,77,33.1,3.02,0.84,3.86,11.37
24,Pascal Siakam,TOR,80,31.9,1.64,2.16,3.8,11.3
25,Eric Bledsoe,MIL,78,29.1,2.47,1.3,3.77,10.43
26,Danilo Gallinari,LAC,68,30.3,3.58,0,3.58,8.69
27,Kevon Looney,GS,80,18.5,1.3,2.18,3.48,6.27
28,Draymond Green,GS,66,31.3,-0.34,3.74,3.4,8.66
29,Marc Gasol,TOR/MEM,79,30.8,0.39,2.98,3.37,9.71
30,Mike Conley,MEM,70,33.5,3.72,-0.45,3.27,9.4
31,Kawhi Leonard,TOR,60,34,3.24,0.02,3.26,8.32
32,Blake Griffin,DET,75,35,2.55,0.46,3.01,9.82
33,Joe Ingles,UTAH,82,31.3,1.6,1.31,2.91,10.04
34,Davis Bertans,SA,76,21.5,2.46,0.43,2.89,6.31
35,Kemba Walker,CHA,82,34.9,4.21,-1.45,2.76,10.69
36,Patrick Beverley,LAC,78,27.4,1.39,1.32,2.71,7.82
37,Robert Covington,MIN/PHI,35,34.4,-0.81,3.52,2.71,4.34
38,Ed Davis,BKN,81,17.9,-1.44,4.13,2.69,5.34
39,DeMarcus Cousins,GS,30,25.7,-0.89,3.57,2.68,2.83
40,Derrick Favors,UTAH,76,23.2,-0.48,3.07,2.59,6.51
41,Andre Iguodala,GS,68,23.2,0.6,1.91,2.51,5.54
42,Russell Westbrook,OKC,73,36,2.59,-0.08,2.51,9.76
43,Andre Drummond,DET,79,33.5,0.55,1.79,2.34,8.76
44,Dwight Powell,DAL,77,21.6,2.31,0,2.31,5.7
45,Marcus Smart,BOS,80,27.5,0.98,1.27,2.25,7.43
46,Rudy Gay,SA,69,26.7,0.44,1.78,2.22,6.21
47,Victor Oladipo,IND,36,31.9,0.96,1.26,2.22,3.74
48,Kelly Olynyk,MIA,79,22.9,0.74,1.34,2.08,5.91
49,Justise Winslow,MIA,66,29.7,0.15,1.9,2.05,6.28
50,George Hill,CLE/MIL,60,21.7,0.15,1.89,2.04,4.25
51,Malcolm Brogdon,MIL,64,28.6,2.07,-0.05,2.02,6.11
52,Donovan Mitchell,UTAH,77,33.7,1.69,0.33,2.02,8.7
53,Derrick White,SA,67,25.8,0.53,1.45,1.98,5.6
54,Thaddeus Young,IND,81,30.7,0.57,1.32,1.89,7.72
55,Khris Middleton,MIL,77,31.1,1.74,0.15,1.89,7.91
56,Steven Adams,OKC,80,33.4,-0.29,2.15,1.86,8.73
57,Josh Richardson,MIA,73,34.8,1.5,0.35,1.85,7.9
58,De'Aaron Fox,SAC,81,31.4,1.3,0.52,1.82,8.48
59,Nemanja Bjelica,SAC,77,23.2,0.74,1.05,1.79,5.82
60,Daniel Theis,BOS,66,13.8,-0.03,1.8,1.77,2.76
61,Willie Cauley-Stein,SAC,81,27.3,-0.77,2.52,1.75,7.15
62,Clint Capela,HOU,67,33.6,-0.23,1.98,1.75,6.68
63,Ben Simmons,PHI,79,34.2,1.21,0.53,1.74,8.48
64,Monte Morris,DEN,82,24,1.64,0.05,1.69,5.78
65,Al-Farouq Aminu,POR,81,28.3,0.22,1.46,1.68,6.85
66,Nikola Mirotic,NO/MIL,46,27.1,0.64,1.01,1.65,3.98
67,Fred VanVleet,TOR,64,27.5,1.24,0.41,1.65,5.32
68,Tobias Harris,LAC/PHI,82,34.7,1.33,0.3,1.63,8.68
69,Dewayne Dedmon,ATL,64,25.1,-0.45,2,1.55,4.87
70,Domantas Sabonis,IND,74,24.8,0.57,0.98,1.55,5.32
71,Hassan Whiteside,MIA,72,23.3,-2.07,3.61,1.54,4.89
72,Jeremy Lamb,CHA,79,28.5,1.05,0.49,1.54,6.63
73,LaMarcus Aldridge,SA,81,33.2,0.37,1.16,1.53,7.84
74,Maxi Kleber,DAL,71,21.2,-0.57,2.1,1.53,4.45
75,Myles Turner,IND,74,28.6,-1.9,3.43,1.53,6.14
76,D'Angelo Russell,BKN,81,30.2,2.1,-0.57,1.53,7.32
77,Bradley Beal,WSH,82,36.9,3.22,-1.71,1.51,8.84
78,DeAndre Jordan,DAL/NY,69,29.7,-1.62,3.11,1.49,6.02
79,Thabo Sefolosha,UTAH,50,12.2,-0.85,2.33,1.48,1.88
80,Luke Kornet,NY,46,17,-0.81,2.27,1.46,2.27
81,Ersan Ilyasova,MIL,67,18.4,-0.25,1.64,1.39,3.71
82,Jayson Tatum,BOS,79,31.1,0.14,1.25,1.39,6.93
83,Kevin Love,CLE,22,27.2,-0.12,1.49,1.37,1.74
84,Ricky Rubio,UTAH,68,27.9,0.33,1.03,1.36,5.57
85,Bam Adebayo,MIA,82,23.3,-1.09,2.4,1.31,5.25
86,Luka Doncic,DAL,72,32.2,2.36,-1.07,1.29,6.56
87,Otto Porter Jr.,CHI/WSH,56,30.1,1.05,0.19,1.24,4.59
88,Delon Wright,TOR/MEM,75,22.7,1.04,0.19,1.23,4.57
89,Mike Muscala,LAL/PHI,64,20.4,-0.61,1.83,1.22,3.52
90,Larry Nance Jr.,CLE,67,26.8,0.22,0.99,1.21,4.9
91,D.J. Augustin,ORL,81,28,2.06,-0.86,1.2,6.16
92,JJ Redick,PHI,76,31.3,1.73,-0.55,1.18,6.64
93,Jamal Murray,DEN,75,32.6,2.37,-1.19,1.18,6.57
94,CJ McCollum,POR,70,33.9,2.19,-1.05,1.14,6.32
95,Joakim Noah,MEM,42,16.5,-1.77,2.89,1.12,1.86
96,Nene Hilario,HOU,42,13,-1.82,2.9,1.08,1.42
97,PJ Tucker,HOU,82,34.2,-0.8,1.86,1.06,7.19
98,Mason Plumlee,DEN,82,21.1,-0.57,1.63,1.06,4.46
