player,pos,davis,drpm,davis_rank,drpm_rank,drpm_diff,DWS,DBPM
Myles Turner,big,0.99,3.43,1,11,-10,4.4,4.7
Andre Drummond,big,0.97,1.79,2,44,-42,5.9,3.6
Rudy Gobert,big,0.95,4.35,3,1,2,5.7,5.1
Anthony Davis,big,0.91,3.2,4,13,-9,3.1,3.9
Giannis Antetokounmpo,big,0.84,3.53,5,10,-5,5.5,5
Mitchell Robinson,big,0.84,1.05,6,69,-63,2.2,5.2
Nerlens Noel,big,0.83,3.81,7,3,4,2.5,5.5
Hassan Whiteside,big,0.78,3.61,8,7,1,4,3
Brook Lopez,big,0.78,3.54,9,9,0,4.3,2.9
Joel Embiid,big,0.76,3.72,10,5,5,3.8,2.1
Steven Adams,big,0.76,2.15,11,33,-22,4,2.1
Nikola Jokic,big,0.75,2.59,12,23,-11,4.3,3.8
JaVale McGee,big,0.75,0.16,13,112,-99,2.9,2.8
Nikola Vucevic,big,0.74,3.59,14,8,6,4.7,3.4
Jusuf Nurkic,big,0.74,3.35,15,12,3,3.3,3.6
Paul George,wing,0.72,3.08,16,15,1,4.9,0.7
Derrick Favors,big,0.72,3.07,17,16,1,3.5,3.2
Draymond Green,big,0.72,3.74,18,4,14,3.2,3.4
Marc Gasol,big,0.70,2.98,19,18,1,4,3.1
Russell Westbrook,guard,0.70,-0.08,20,126,-106,5,3.9
James Harden,guard,0.68,0.02,21,121,-100,3.8,1.1
Karl-Anthony Towns,big,0.68,0.84,22,83,-61,3.2,2
Al Horford,big,0.65,2.66,23,21,2,2.9,2.7
Jarrett Allen,big,0.65,1.25,24,63,-39,3.3,3.2
Jaren Jackson Jr.,big,0.65,2.18,25,31,-6,2.2,1.4
Clint Capela,big,0.64,1.98,26,37,-11,3,1.6
Paul Millsap,big,0.63,2.74,27,20,7,2.9,1.9
Jimmy Butler,wing,0.62,2.16,28,32,-4,2.5,0.6
Thaddeus Young,big,0.62,1.32,29,58,-29,3.9,2.1
Larry Nance Jr.,big,0.62,0.99,30,72,-42,1.6,2.6
Ben Simmons,guard,0.62,0.53,31,97,-66,3.6,2.6
Mason Plumlee,big,0.62,1.63,32,49,-17,2.9,3.9
Marcus Smart,guard,0.61,1.27,33,62,-29,3.1,1.3
Montrezl Harrell,big,0.60,-0.5,34,145,-111,2.6,1.6
Willie Cauley-Stein,big,0.60,2.52,35,24,11,2.9,2.2
Dewayne Dedmon,big,0.60,2,36,36,0,1.9,1.7
Bam Adebayo,big,0.59,2.4,37,25,12,3.4,3.6
Chris Paul,guard,0.59,2.27,38,29,9,2.2,0.2
Kawhi Leonard,wing,0.59,0.02,39,121,-82,3.4,0.7
Kyle Anderson,wing,0.58,2.32,40,27,13,1.8,3.3
Jonathan Isaac,big,0.58,1.13,41,67,-26,3.1,2
Maurice Harkless,wing,0.57,1.69,42,47,-5,1.9,2.3
Serge Ibaka,big,0.56,0.32,43,106,-63,3.3,1.2
Mo Bamba,big,0.55,-0.16,44,130,-86,1.4,3.1
Jerami Grant,big,0.55,0.86,45,81,-36,3.3,0.9
De'Aaron Fox,guard,0.54,0.52,46,98,-52,2.5,0
Eric Bledsoe,guard,0.54,1.3,47,60,-13,3.7,1
Jrue Holiday,guard,0.54,1.23,48,64,-16,1.9,-0.1
